season,benzene(ug/mg3),NO,NO2,tolune,Nox,O3,pm2.5,pm10,temperature,wind direcction,relative humidity,wind speed,ambient temp
summer,17.49,123.93,99.17,43.5,257.67,24.93,137.92,513.77,29.86,173.77,21.95,1.24,39.85
summer,11.3,107.76,83.7,22.07,221.68,29.91,119.83,507.36,29.59,247.11,19.3,1.71,38.43
summer,10.17,121.02,108.94,20.88,262.34,55.3,89.38,507.56,30.88,266.97,19.02,2,38.89
summer,12.79,7.74,57.53,31.16,61.83,22.34,120.19,349.2,32.07,216.32,19.34,1.62,39.2
summer,8.25,9.07,46.48,18.12,53.73,23.21,86.62,299.4,32.57,93.83,35.92,3.81,36.63
summer,6.32,5.95,32.65,20.65,37.21,23.14,67.89,421.31,31.76,111.6,43.85,3.86,36.53
summer,5.05,118.47,74.64,9.42,228.29,34.63,64.06,283.82,31.91,102.12,46.38,4.19,34.59
summer,23.61,76.19,78.46,114.04,173.93,28.88,98.48,454.58,31.42,135.14,59.26,1.32,27.71
summer,15.63,70.16,71.81,60.21,159.8,40.51,136.97,593.05,32.86,173.26,50.93,1.57,32.21
 monsoon,17.51,132.24,78.2,39.41,250.33,37.06,121.75,665.84,34.66,228.11,37.51,1.63,35.73
 monsoon,17.97,117.86,97.96,40.93,248.26,72.9,129.37,560.34,35.69,266.55,30.88,1.92,38.16
 monsoon,28.05,37.14,79.11,88.04,121.2,67.01,246.8,484.81,32.51,152.17,35.06,1.33,37.96
 monsoon,20.38,6.28,33.41,70.57,38.34,25.95,275.76,276.47,29.1,142.44,35.11,1.98,39.1
 monsoon,7.67,13.73,51.33,43.24,64.48,28.36,100.69,310.33,29.39,94.14,47.96,3.99,36.39
 monsoon,9.19,12.74,51.75,50.96,63.51,24.55,131.91,286.96,32.39,99.59,43.06,3.49,34.84
 monsoon,9.09,7.87,59.08,68.11,63.39,17.55,97.68,235.45,33.05,89.79,46.39,3.83,33.54
 monsoon,11.25,33.21,55.89,60.61,95.15,23.97,78.25,287.62,31.96,90.58,41.32,3.33,35.26
 monsoon,11,53.57,63.84,57.71,129.82,17.23,77.15,407.68,33.81,116.32,43.22,3.13,34.78
 monsoon,13.75,71.29,72.31,49.18,161.76,27.05,87.71,510.85,32.08,143.24,38.09,2.35,35.04
 monsoon,12.59,99.69,74.33,35.74,202.37,17.9,98.96,683.96,34.07,213.16,47.75,1.82,32.71
 monsoon,11.14,98.74,62.72,28.98,190.59,18.03,109.71,555.61,35.13,260.08,36.71,1.57,35.51
 monsoon,8.87,95.01,59.5,19.41,182.81,17.88,115.36,407.2,34.97,251.65,42.06,2.13,35.84
 monsoon,8.63,44.63,53.97,22.69,109.02,16.05,72.44,514.8,36.38,242.65,53.22,2.28,32.46
 monsoon,11.19,11.33,36.9,46.59,48.34,21.02,110.89,161.84,34.48,140.48,53.04,2.48,33.99
 monsoon,5.76,31.36,58.37,40.31,94.9,26.55,49.84,202.79,32.93,97.59,54.96,3.9,32.29
 monsoon,7.17,8.29,36.2,44.25,43.56,17.04,62.47,202.42,34.74,108.5,54.73,2.73,32.89
 monsoon,6.24,8.21,44.97,27.95,51.28,7.98,59.45,162.59,33.49,94.31,53.8,3.92,34.76
 monsoon,6.4,20.56,50.59,20.23,73.16,8.88,58.83,134.73,35.63,93.61,56.94,3.5,34.01
 monsoon,8.08,11.72,43.37,33.39,54.65,9.53,53.37,94.69,27.77,95.7,64.94,3.11,31.53
 monsoon,6.45,14.64,45.49,24.74,60.52,21.07,44.56,177.55,25.41,105.82,65.27,3.13,31.2
 monsoon,6.77,41.81,74.66,31.11,123.43,17.71,55.67,209.09,33.49,106.33,61.8,2.94,31.96
 monsoon,8.94,64.2,71.18,30.52,151.07,22.28,71.93,636.51,33.52,167.7,53.18,1.9,33.86
 monsoon,9.6,5.02,37.61,32.24,40.36,14.73,123.19,226.97,41.02,214.5,45.97,1.8,36.69
 monsoon,6.84,5.53,33.95,22.15,37.79,14.59,81.85,149.69,59.97,93.76,57.66,3.62,34.67
 monsoon,6.79,8.61,41.1,23.22,48.38,14.51,64.83,164.84,36.65,95.97,60.02,3.55,34
 monsoon,4.73,35.12,56.27,36.82,98.09,29.28,64.17,167.36,31.22,93.78,60.91,3.65,33.86
 monsoon,5.37,11.83,43.91,54.2,55.27,16.26,54.15,94.65,31.91,116.35,64.97,2.41,31.11
 monsoon,4.28,23.21,49.42,26.24,75.71,15.91,37.29,184.53,33.48,95,56.88,3.18,34.44
 monsoon,5.58,46.61,54.94,33.99,112.28,12.2,53.83,215.21,32.71,118.73,55.19,2.44,35.84
 monsoon,5.35,57.55,63.76,21.63,135.43,26.64,56.61,210.13,30.36,168.71,64.99,2.24,33.47
 monsoon,6.85,32.19,58.61,34.61,96.17,32.2,46.52,143.03,30.04,161.7,69.44,1.65,28.36
 monsoon,7.13,42.06,60.39,41.13,111.26,40.57,67.04,142.4,30.38,115.41,73.46,1.6,29.05
 monsoon,5.65,63.34,78.18,27.47,156.15,22.96,51.51,372.39,30.28,128.76,68.36,1.48,30.67
 monsoon,9.13,38.31,45.94,30.05,93.15,16.33,89.04,219.47,32.27,179.53,61.12,1.42,33.56
 monsoon,6.01,10.68,37.97,20.26,48.41,14.22,68.13,120.73,33.69,137.61,64.83,2.47,32.65
 monsoon,4.61,28.7,50.65,19.2,84.13,12.98,34.57,137.58,30.09,117.92,59.99,2.46,33.4
 monsoon,6.58,25.34,37.34,23.3,67.87,13.86,47.45,142.69,34,127.18,64.41,1.91,32.05
 monsoon,4.77,35.02,56.1,22.97,97.78,12.8,41.42,160.79,35.49,115.59,64.23,2.45,32.51
 monsoon,6.78,17.85,39.83,32.86,59.87,11.54,55.9,99.16,31.15,138.06,62.6,1.52,32.42
 monsoon,5.44,53.78,25.72,22.98,96,10.74,45.1,85.75,28.14,106.66,67.72,2.48,31.06
 monsoon,9.55,44.03,21.03,51.85,78.85,22.77,52.71,141.42,29.27,144.98,72.67,1.87,30.54
 monsoon,10.69,124.72,65.9,68.71,229.32,13.71,87.4,380.69,29.45,91.55,72.31,1.91,30.85
 monsoon,6.04,80.59,43.92,15.93,148.88,15.08,55.73,57.32,34.86,254.53,71.01,1.26,31.46
 monsoon,6.57,80.85,38.85,23.85,145.01,13.21,36.3,61.17,31.74,219.12,81.85,1.21,27.33
 monsoon,6.47,84.6,39.03,22.76,150.15,14.64,42.59,158.46,32.84,248.33,76.42,1.01,28.61
 monsoon,8.93,69.08,42.25,26.03,131.99,21.57,41.31,432.21,31.01,255.75,73.69,1.11,29.06
 monsoon,8.13,122.19,64.54,23.85,224.35,20.87,61.13,591.12,31.61,270.88,64.12,1.72,32.56
 monsoon,6.73,112.49,62.65,20.1,209.2,22.95,77.8,633.71,32.29,271.48,59.08,1.59,34.29
 monsoon,7.6,44.84,51.81,17.95,107.4,25.67,90.47,278.25,31.31,250.8,52.49,1.5,35.07
 monsoon,5.43,6.74,28.63,40.33,34.72,17.49,64.72,105.14,28.89,135.81,62.27,2.59,33.16
 monsoon,2.71,24.1,73.61,17.43,99.12,31.16,40.39,215.08,30.13,101.52,72.61,3.53,29.24
 monsoon,8.81,41.01,73.19,29.82,121.71,27.87,83.24,286.56,29.41,119.67,65.7,1.64,31.57
 monsoon,9.87,18.32,45.32,42.4,65.78,25.71,97.64,134.99,29.7,134.24,65.97,1.25,32.2
 monsoon,5.98,32.29,36.05,36.43,76.7,26.1,63.22,66.49,27.31,111.79,74.19,2.41,30.05
 monsoon,4.65,40.36,36.94,43.36,87.88,36.39,42.92,94.84,27.78,105.54,79.17,2.78,27.85
 monsoon,7.15,57.02,40.32,48.68,113.79,40.33,52.83,90.5,28.76,119.9,75.68,1.78,28.93
 monsoon,6.79,44.49,37.29,51.06,93.97,24.21,59.82,73.99,30.27,120.23,82.23,1.18,27.43
 monsoon,6.09,37.93,32.16,42.57,80.44,41.98,48.19,80.06,32.22,119.11,80.93,1.47,27.9
 monsoon,4.29,22.39,28.46,42.64,55.92,22.63,46.38,73.38,32.64,116.41,76.69,1.58,28.74
 monsoon,4.27,29.44,34.33,44.39,70.8,54.3,43.61,72.72,31.53,96.15,78.29,2.66,28.28
 monsoon,5.88,26.53,36.14,55.14,68.42,24.83,48.69,114.95,29.77,99.38,73.18,2.34,29.21
 monsoon,4.98,18.29,34.34,91.23,55.58,23.86,43.27,129.75,31.41,89.1,63.33,2.5,31.56
 monsoon,4.74,16.12,36.62,56.18,54.65,24.89,42.97,130.06,31.49,89.38,60.42,3,32.96
 monsoon,4.05,38.34,41.04,33.5,88.92,24.78,40.75,124.6,29.53,98.2,58.91,2.31,33.57
 monsoon,5.02,24.2,31.22,72.61,60.86,25.38,46.14,128.46,28.16,96.09,72.06,1.81,29.09
 monsoon,4.11,17.81,30.95,39.79,51.88,28.23,47.81,91.26,31.05,88.34,69.89,2.41,28.96
 monsoon,3.13,19.43,25.84,24.58,49.57,30.66,37.45,31.42,27.14,89.67,74.89,3.3,27.84
 monsoon,5.06,83.59,39.59,37.72,149.43,26.84,22.94,107.14,27.27,98.2,79.48,2.94,28.98
 monsoon,8.01,75.38,55.18,29.47,152.09,17.71,50.79,176.11,28.72,167.7,76.6,1.18,30.05
 monsoon,8.67,84.8,45.68,42.37,156.51,18.4,95.01,138.87,28.38,204.46,76.59,0.78,29.83
 monsoon,4.63,85.27,43.69,13.5,155.41,17.44,55.95,449.94,29.33,216.77,74.99,0.97,31.77
 monsoon,2.45,111.82,44.43,7.02,192.18,14.12,95.75,620.72,30.71,258.63,64.56,1.58,31.25
 monsoon,4.34,69.97,47.31,18.09,137.67,18.83,74.36,520.4,31.62,266.21,62.58,1.63,29.88
 monsoon,6.47,50.19,48.87,30.88,112.08,19.56,54.36,264.04,32.78,197.82,65.19,1.4,29.32
 monsoon,7.1,42.14,47.95,47.34,100.27,34.12,64.6,294.24,30.48,138.52,73.14,0.85,31.88
 monsoon,3.22,13.05,37.16,46.04,50.93,35.34,35.59,142.22,34.18,145.79,63.3,1.4,31.52
 monsoon,2.28,8.14,30.39,14,38.19,32.02,20.84,117.57,27.27,90.85,63.87,3.49,30.71
 monsoon,3.25,11.98,33.84,16.11,46.51,33.92,25.81,156.67,28.06,97.26,63.29,3.14,31.08
 monsoon,3.45,11.04,36.98,23.79,48.03,32.51,37.47,152.71,30.46,103.07,61.68,2.74,31.15
 monsoon,2.35,16.04,37.88,35.27,55.64,32.08,29.32,168.98,36.11,98.14,63.76,2.4,30.73
 monsoon,11,149.94,69.08,51.5,266.34,34.49,57.1,214.07,29.06,92.29,66.97,4.76,30.92
 monsoon,8.64,102.67,58.17,35.95,192.09,32.95,58.1,153.01,29.03,181.86,70.16,0.86,31.76
 monsoon,5.47,38.18,45.42,21.86,92.52,32.08,48.6,271.63,31.41,205.75,66.75,0.73,33.69
 monsoon,6.06,47.5,46.62,35.73,106.16,35.06,65.81,296.19,31.27,167.1,58.3,2.44,29.85
 monsoon,6.95,38.96,74.76,35.85,119.8,40.66,55.79,105.64,30.12,167.24,71.8,1.38,29
 monsoon,4.92,39.69,46.25,40.07,95.41,33.52,29.86,58.4,29.94,160.42,73.87,0.81,27.11
 monsoon,7.89,72.15,58.85,41.19,150.92,38.56,41.68,72.75,30.61,108.06,79.23,1.64,27.87
 monsoon,7.26,102.61,50.91,24.12,185.39,35.15,54.83,216.04,29.11,166.21,77.73,1.08,30.35
 monsoon,6.22,89.91,54.76,20.1,171.67,31.94,60.9,489.41,29.9,274.82,69.88,1.48,30.86
 monsoon,4.57,105.78,48.44,11.24,187.2,30.02,81.69,622.15,30.09,278.72,59.78,1.71,31.37
 monsoon,3.48,111.22,47.43,10.59,193.81,54.39,57.56,541.98,30.87,265.97,59.42,1.49,31.26
 monsoon,5.5,92.61,41.96,13.98,163.51,39.42,61.41,553.75,30.72,267.02,57.19,1.57,31.26
 monsoon,5.59,90.11,49.17,16.98,166.89,23.19,67.06,525.22,28.68,273.29,55.36,2.1,31.73
 monsoon,6.23,95.33,53.61,22.56,177.43,19.64,65.48,518.04,29.37,277.82,54.04,1.67,32.14
 monsoon,7.62,105.33,53.29,22.57,191.01,30.38,81.23,522.2,28.4,279.23,53.49,1.55,32.54
 monsoon,7.59,109.18,52.38,22.73,195.48,20.38,56.4,436.06,27.1,277.84,52.24,1.45,32.26
 monsoon,6.75,123.98,53.65,18.7,216.78,24.52,60.75,352.93,28.41,273.16,51.02,1.54,32.43
 monsoon,5.58,104.99,47.15,17.98,184.98,28.67,54.63,356.36,30.74,264.44,51.09,1.13,32.13
 monsoon,7.64,79.99,50.61,46,154.33,20.63,70.67,366.39,29.82,255.63,51.37,1.32,32.19
 monsoon,4.79,33.37,49.87,28.35,90.01,39.03,50.26,210.61,28.87,177.35,56.65,1.44,31.04
 monsoon,5.98,37.08,59.89,28.46,104,22.9,90.87,371.3,31.2,123.24,60.08,1.33,32.6
 monsoon,7.09,40.8,64.89,25.3,113.57,26.89,88,379.96,29.9,194.32,55.13,0.84,32.64
 monsoon,7.15,72.37,69.54,24.12,160.76,31.71,102.04,413.86,30.08,180.21,53.99,0.81,32.41
 monsoon,6.03,28.73,61.83,28.69,94.32,22.76,94.9,292.57,30.5,166.24,55.82,0.77,32.2
 monsoon,6.34,37.83,68,23.35,112.24,37.33,81.38,269.2,29.68,111.35,53.57,1.44,32.84
 monsoon,12.73,138.92,119.49,87.94,296.17,41.64,131.19,611.73,30.19,127.21,52.31,1.21,33.2
 monsoon,4.43,41.12,63.34,35.21,112.38,49.35,101.79,315.3,29.6,96.98,48.15,0.8,32.13
 monsoon,3.32,17.25,49.34,39.56,67.51,49.29,35.28,100.61,30.45,98.38,57.07,2.04,28.46
 monsoon,3.73,28.29,63.24,24.6,94.96,26.62,69.82,228.22,30.33,93.28,67.11,2.87,30.54
 monsoon,4,30.64,53.24,19.67,89.27,28.19,56.14,170.31,30.16,119.15,60.67,1.49,30.7
 monsoon,3.55,41.25,57.2,18.73,107.31,54.92,61.06,239.67,30.55,115.4,59.51,1.7,30.84
 monsoon,5.87,53.49,65.25,33.69,131.18,28.08,107.66,325.35,30.98,127.31,58.76,1.24,31.16
 monsoon,4.2,33.97,51.18,8.33,91.96,31.9,64.47,190.74,30.88,108.68,58.59,1.23,32.02
 monsoon,6.37,57.79,95.63,37.05,163.15,33.94,118.05,452.95,28.68,154.03,57.36,1.31,33.23
 monsoon,4.16,17.09,59.9,19.14,76.7,28.9,109.92,266.9,29.27,124.27,47.91,1.22,31.49
 monsoon,4.33,55.98,72.68,18.18,141.29,32.42,113.09,362.81,29.76,101.13,58.74,1.9,31.66
post monsoon,6.69,54.29,72.41,40.15,138.65,49.81,125.79,350.75,30.09,138.74,58.09,0.9,32.54
post monsoon,4.26,51.78,59.96,17.98,124.15,44,89.58,342.69,28.76,102.84,55.68,1.38,32.74
post monsoon,2.76,35.07,65.32,12.19,106.08,48.46,118.57,343.23,32.02,124.04,57.87,1.28,33.04
post monsoon,6.79,74.22,76.5,26.6,169.51,59.31,193.12,404.38,31.86,138.89,57.74,1.1,30.24
post monsoon,10.71,132.21,82.49,43.29,254.05,29.49,113.53,254.67,30.76,157.04,66.66,0.82,28.61
post monsoon,7.66,72.17,85.11,24.23,174.4,21.15,154.39,375.12,31.65,205.04,68.34,0.54,30.2
post monsoon,5.86,118.71,76.24,15.64,230,20.65,132.22,518.61,31.58,158.55,65.22,0.93,30.98
post monsoon,7.48,109.61,79.73,19.37,220.73,19.25,183.62,604.48,29.89,243.51,58.92,0.73,31.13
post monsoon,8.41,147.19,90.55,54.52,281.69,25.62,190.8,572,28.37,206.93,52.89,0.67,30.4
post monsoon,8.84,165.78,95.99,33.47,311.94,23.13,172.46,559.56,29.79,125.01,52.63,0.62,30
post monsoon,7.08,131.9,98.26,15.82,267.64,17.13,187.65,599.32,29.99,241.48,48.43,0.6,29.81
post monsoon,8.92,142.23,105.27,19.58,288.06,21.37,132.57,567.65,30.89,272.1,45.45,0.92,29.29
